iter	Passed	Remaining
0	104	104073
1	106	52932
2	108	35895
3	109	27335
4	111	22177
5	113	18773
6	115	16403
7	117	14575
8	119	13189
9	121	12068
10	124	11152
11	125	10373
12	128	9760
13	130	9220
14	133	8742
15	134	8298
16	136	7919
17	138	7570
18	140	7277
19	142	7006
20	145	6770
21	147	6551
22	149	6343
23	151	6148
24	153	5968
25	155	5810
26	157	5669
27	159	5547
28	161	5409
29	163	5278
30	165	5159
31	166	5051
32	168	4944
33	170	4851
34	173	4772
35	175	4693
36	177	4613
37	178	4529
38	180	4452
39	182	4378
40	184	4306
41	186	4244
42	188	4192
43	190	4137
44	191	4073
45	193	4011
46	195	3954
47	196	3898
48	198	3844
49	199	3792
50	201	3741
51	202	3695
52	204	3655
53	206	3613
54	208	3574
55	209	3533
56	211	3492
57	212	3456
58	214	3420
59	215	3382
60	217	3347
61	219	3325
62	221	3294
63	223	3261
64	224	3230
65	226	3201
66	227	3171
67	228	3132
68	230	3106
69	231	3080
70	233	3056
71	235	3034
72	237	3011
73	238	2989
74	240	2966
75	242	2943
76	243	2921
77	245	2898
78	246	2877
79	248	2860
80	250	2844
81	252	2826
82	254	2810
83	256	2792
84	257	2767
85	258	2750
86	259	2726
87	261	2709
88	263	2694
89	265	2684
90	267	2670
91	268	2653
92	270	2636
93	271	2619
94	273	2602
95	274	2586
96	276	2571
97	277	2557
98	280	2550
99	282	2538
100	283	2525
101	284	2505
102	286	2492
103	287	2478
104	289	2464
105	290	2451
106	292	2438
107	293	2427
108	295	2416
109	297	2405
110	298	2393
111	300	2382
112	301	2370
113	303	2360
114	305	2348
115	306	2335
116	307	2324
117	310	2320
118	311	2308
119	313	2298
120	314	2288
121	316	2277
122	317	2262
123	318	2252
124	320	2242
125	322	2233
126	323	2225
127	324	2212
128	326	2205
129	328	2196
130	329	2187
131	331	2179
132	332	2170
133	334	2161
134	336	2153
135	337	2145
136	340	2142
137	341	2134
138	343	2126
139	344	2118
140	346	2110
141	347	2102
142	349	2094
143	351	2087
144	352	2081
145	354	2074
146	356	2069
147	358	2063
148	359	2056
149	361	2048
150	362	2040
151	364	2033
152	366	2027
153	367	2020
154	370	2018
155	371	2012
156	373	2005
157	375	1998
158	376	1992
159	378	1985
160	379	1978
161	381	1972
162	382	1965
163	384	1961
164	386	1957
165	388	1951
166	389	1944
167	391	1937
168	392	1931
169	394	1924
170	395	1918
171	397	1912
172	398	1907
173	401	1904
174	402	1898
175	404	1892
176	405	1886
177	407	1880
178	408	1873
179	410	1868
180	410	1858
181	412	1853
182	413	1847
183	415	1842
184	417	1837
185	418	1832
186	420	1827
187	421	1821
188	423	1817
189	425	1813
190	427	1808
191	428	1804
192	431	1805
193	433	1800
194	435	1796
195	436	1790
196	437	1785
197	439	1779
198	440	1774
199	442	1768
200	443	1763
201	445	1759
202	446	1754
203	448	1749
204	449	1744
205	451	1739
206	452	1735
207	454	1730
208	455	1725
209	457	1720
210	458	1715
211	460	1712
212	462	1709
213	464	1704
214	465	1700
215	467	1696
216	468	1691
217	470	1687
218	471	1682
219	473	1678
220	475	1674
221	476	1670
222	478	1666
223	479	1662
224	481	1658
225	483	1654
226	485	1651
227	486	1648
228	488	1645
229	490	1643
230	492	1640
231	494	1637
232	496	1633
233	497	1629
234	499	1625
235	500	1621
236	502	1617
237	503	1613
238	505	1610
239	508	1609
240	510	1606
241	511	1603
242	513	1599
243	514	1595
244	516	1590
245	517	1586
246	518	1582
247	521	1580
248	523	1579
249	525	1576
250	526	1572
251	528	1568
252	529	1564
253	531	1560
254	532	1556
255	534	1553
256	536	1551
257	538	1548
258	540	1545
259	541	1541
260	543	1538
261	544	1534
262	546	1530
263	547	1526
264	549	1522
265	551	1520
266	553	1518
267	554	1515
268	556	1512
269	558	1508
270	559	1504
271	560	1501
272	562	1497
273	563	1493
274	565	1490
275	567	1489
276	569	1486
277	571	1483
278	572	1479
279	574	1476
280	575	1472
281	577	1469
282	578	1466
283	580	1463
284	582	1462
285	584	1460
286	586	1457
287	588	1453
288	589	1450
289	591	1447
290	592	1444
291	594	1441
292	596	1439
293	598	1437
294	600	1434
295	601	1431
296	603	1428
297	604	1424
298	606	1421
299	607	1417
300	609	1414
301	611	1412
302	613	1411
303	615	1408
304	616	1405
305	618	1402
306	619	1399
307	621	1396
308	622	1392
309	624	1389
310	626	1387
311	628	1385
312	630	1383
313	631	1380
