iter	Passed	Remaining
0	137	137511
1	139	69649
2	141	47026
3	143	35827
4	146	29194
5	149	24716
6	151	21515
7	153	19045
8	155	17111
9	157	15569
10	159	14313
11	161	13291
12	164	12469
13	166	11721
14	168	11049
15	169	10449
16	171	9939
17	174	9495
18	176	9093
19	178	8734
20	180	8432
21	182	8125
22	184	7849
23	186	7588
24	188	7351
25	190	7135
26	192	6929
27	194	6746
28	196	6581
29	198	6416
30	200	6258
31	202	6121
32	204	5988
33	206	5864
34	208	5753
35	211	5653
36	213	5544
37	214	5437
38	216	5332
39	218	5232
40	219	5134
41	221	5056
42	224	4993
43	226	4914
44	228	4841
45	229	4764
46	231	4688
47	232	4615
48	234	4544
49	235	4479
50	237	4421
51	239	4374
52	241	4317
53	243	4260
54	245	4214
55	246	4162
56	248	4109
57	249	4060
58	253	4046
59	256	4019
60	258	3977
61	260	3938
62	262	3910
63	265	3880
64	268	3866
65	271	3841
66	273	3805
67	275	3770
68	276	3736
69	279	3707
70	283	3709
71	288	3722
72	291	3695
73	292	3664
74	294	3634
75	300	3654
76	302	3627
77	304	3596
78	306	3573
79	308	3545
80	310	3520
81	315	3527
82	317	3506
83	319	3482
84	321	3457
85	323	3434
86	325	3412
87	327	3391
88	329	3367
89	331	3349
90	333	3328
91	335	3309
92	337	3287
93	338	3265
94	340	3243
95	345	3253
96	347	3235
97	349	3217
98	351	3199
99	353	3181
100	355	3161
101	360	3177
102	363	3165
103	366	3153
104	368	3136
105	369	3120
106	372	3107
107	375	3097
108	377	3089
109	383	3101
110	385	3090
111	397	3148
112	399	3136
113	401	3121
114	404	3110
115	410	3126
116	412	3111
117	414	3097
118	416	3081
119	419	3077
120	422	3070
121	424	3056
122	426	3041
123	428	3024
124	431	3017
125	433	3006
126	435	2991
127	437	2982
128	440	2971
129	441	2957
130	443	2940
131	444	2925
132	446	2911
133	448	2897
134	450	2883
135	451	2871
136	454	2860
137	455	2846
138	457	2832
139	458	2819
140	460	2805
141	461	2789
142	463	2777
143	465	2767
144	467	2758
145	469	2746
146	471	2735
147	472	2722
148	474	2710
149	476	2699
150	478	2688
151	480	2683
152	483	2676
153	485	2667
154	487	2656
155	489	2645
156	491	2636
157	492	2626
158	495	2619
159	497	2614
160	499	2600
161	500	2590
162	502	2579
163	504	2569
164	505	2559
165	507	2549
166	509	2540
167	512	2536
168	513	2526
169	515	2516
170	517	2506
171	519	2498
172	520	2489
173	522	2480
174	524	2471
175	526	2465
176	528	2456
177	529	2446
178	531	2436
179	532	2426
180	534	2417
181	535	2407
182	537	2398
183	538	2388
184	540	2380
185	542	2374
186	544	2366
187	545	2358
188	547	2350
189	549	2342
190	551	2334
191	553	2327
192	556	2325
193	558	2320
194	560	2314
195	562	2306
196	563	2298
197	565	2290
198	567	2283
199	569	2276
200	571	2270
201	572	2263
202	574	2257
203	576	2249
204	578	2242
205	580	2235
206	581	2228
207	583	2221
208	586	2220
209	588	2215
210	592	2215
211	594	2210
212	596	2203
213	597	2196
214	600	2191
215	601	2184
216	603	2179
217	605	2172
218	606	2164
219	608	2157
220	610	2150
221	611	2143
222	613	2136
223	615	2132
224	618	2129
225	619	2123
226	621	2117
227	623	2112
228	625	2106
229	627	2100
230	629	2094
231	631	2090
232	633	2086
233	636	2082
234	638	2076
235	639	2070
236	641	2064
237	643	2059
238	645	2056
239	648	2053
240	650	2048
241	652	2042
242	653	2036
243	655	2030
244	656	2024
245	658	2018
246	660	2012
247	662	2008
248	664	2002
249	665	1996
250	667	1990
251	668	1984
252	669	1978
253	671	1972
254	673	1967
255	675	1963
256	676	1956
257	678	1951
258	680	1945
259	681	1939
260	683	1933
261	684	1927
262	685	1921
263	687	1915
264	688	1910
265	690	1906
266	692	1900
267	693	1895
268	695	1889
269	697	1884
270	698	1879
271	700	1874
272	701	1868
273	703	1862
274	704	1857
275	706	1853
276	708	1850
277	710	1846
278	712	1841
279	714	1837
280	717	1834
281	718	1829
282	720	1825
283	722	1822
284	725	1820
285	728	1817
286	730	1813
287	731	1809
288	733	1804
289	736	1802
290	738	1799
291	740	1795
292	742	1791
293	744	1786
294	745	1782
295	747	1777
296	749	1772
297	750	1769
298	754	1768
299	755	1763
300	758	1760
301	759	1756
302	762	1753
303	764	1749
304	765	1745
305	767	1741
306	769	1737
307	771	1733
308	773	1728
309	774	1724
310	776	1719
311	777	1714
312	778	1709
313	781	1706
314	783	1703
315	784	1699
316	786	1694
317	788	1690
318	789	1685
319	791	1681
320	793	1677
321	794	1673
322	796	1670
323	798	1666
324	800	1661
325	801	1657
326	803	1653
327	804	1649
328	806	1645
329	808	1640
330	809	1636
331	811	1633
332	813	1628
333	814	1624
334	816	1620
335	817	1615
336	819	1611
337	820	1607
338	822	1602
339	823	1599
340	826	1596
341	827	1592
342	829	1588
343	830	1584
344	832	1580
345	833	1576
346	835	1571
347	836	1567
348	837	1562
349	838	1558
350	840	1554
351	842	1550
352	843	1545
353	844	1541
354	845	1537
355	847	1532
356	848	1528
357	849	1524
358	851	1519
359	852	1515
360	853	1511
361	855	1508
362	857	1504
363	858	1500
364	860	1496
365	861	1492
366	862	1488
367	864	1483
368	865	1479
369	866	1475
370	868	1471
371	869	1468
372	871	1464
373	872	1460
374	874	1456
375	875	1452
376	876	1448
377	878	1444
378	879	1440
379	880	1436
380	882	1432
381	883	1429
382	885	1426
383	887	1423
384	888	1419
385	889	1415
386	891	1411
387	892	1407
388	894	1404
389	895	1400
390	896	1397
391	898	1393
392	899	1390
393	901	1387
394	903	1383
395	904	1380
396	906	1376
397	907	1373
398	909	1369
399	910	1366
400	912	1363
401	914	1359
402	916	1357
403	918	1354
404	919	1350
405	921	1347
406	922	1344
407	924	1341
408	925	1337
409	927	1334
410	929	1331
411	931	1328
412	933	1326
413	934	1323
414	936	1320
415	938	1317
416	940	1314
417	942	1311
418	943	1308
419	945	1305
420	947	1302
421	948	1299
422	950	1296
423	952	1293
424	953	1290
425	955	1287
426	956	1283
427	957	1280
428	959	1276
429	960	1273
430	962	1270
431	963	1267
432	965	1263
433	966	1260
434	967	1257
435	969	1253
436	970	1250
437	972	1247
438	973	1244
439	975	1241
440	976	1238
441	978	1234
442	979	1231
443	981	1228
444	982	1225
445	983	1221
446	984	1218
447	986	1215
448	988	1212
449	989	1209
450	991	1206
451	993	1203
452	994	1201
453	996	1198
454	998	1195
455	999	1192
456	1001	1189
457	1002	1186
458	1004	1183
459	1006	1181
460	1008	1178
461	1009	1176
462	1011	1173
463	1013	1170
464	1014	1167
465	1016	1164
466	1017	1161
467	1019	1158
468	1021	1156
469	1023	1153
470	1025	1151
471	1026	1148
472	1028	1145
473	1030	1143
474	1031	1140
475	1033	1137
476	1035	1135
477	1036	1132
478	1038	1129
479	1040	1127
480	1042	1124
481	1044	1122
482	1045	1119
483	1047	1116
484	1049	1114
485	1051	1112
486	1053	1109
487	1055	1107
488	1056	1104
489	1058	1102
490	1060	1099
491	1062	1096
492	1063	1094
493	1066	1091
494	1069	1091
495	1071	1088
496	1073	1086
497	1075	1083
498	1076	1081
499	1078	1078
500	1081	1077
501	1084	1075
502	1086	1073
503	1088	1071
504	1090	1068
505	1091	1065
506	1093	1063
507	1095	1060
508	1097	1058
509	1100	1057
510	1102	1055
511	1104	1052
512	1105	1049
513	1107	1046
514	1108	1044
515	1110	1041
516	1113	1040
517	1115	1038
518	1117	1035
519	1118	1032
520	1120	1030
521	1122	1027
522	1124	1025
523	1125	1022
524	1128	1020
525	1130	1018
526	1131	1015
527	1133	1013
528	1134	1010
529	1136	1007
530	1137	1004
531	1139	1001
532	1141	999
533	1143	997
534	1144	995
535	1146	992
536	1148	989
537	1149	987
538	1151	984
539	1152	981
540	1154	979
541	1155	976
542	1157	974
543	1159	972
544	1161	969
545	1163	967
546	1164	964
547	1166	962
548	1167	959
549	1169	956
550	1171	954
551	1173	952
552	1175	950
553	1177	947
554	1179	945
555	1180	942
556	1182	940
557	1183	937
558	1185	934
559	1186	932
560	1189	930
561	1190	928
562	1192	925
563	1194	923
564	1196	920
565	1197	918
566	1198	915
567	1200	912
568	1202	910
569	1204	908
570	1206	906
571	1208	903
572	1209	901
573	1211	898
574	1212	896
575	1214	893
576	1216	891
577	1218	889
578	1220	887
579	1222	885
580	1224	882
581	1225	880
582	1227	877
583	1228	875
584	1229	872
585	1231	870
586	1234	868
587	1236	866
588	1237	863
589	1239	861
590	1241	858
591	1242	856
592	1243	853
593	1245	851
594	1247	849
595	1249	846
596	1251	844
597	1252	842
598	1254	839
599	1255	837
600	1257	834
601	1258	832
602	1260	829
603	1262	827
604	1264	825
605	1266	823
606	1268	821
607	1269	818
608	1271	816
609	1272	813
610	1273	810
611	1275	808
612	1277	806
613	1279	804
614	1281	802
615	1283	799
616	1284	797
617	1286	795
618	1287	792
619	1288	790
620	1290	787
621	1293	786
622	1295	784
623	1297	781
624	1299	779
625	1300	777
626	1302	774
627	1303	772
628	1304	769
629	1308	768
630	1311	766
631	1313	764
632	1315	762
633	1317	760
634	1318	758
635	1320	755
636	1322	753
637	1325	751
638	1326	749
639	1328	747
640	1329	744
641	1331	742
642	1332	739
643	1334	737
644	1335	735
645	1338	733
646	1340	731
647	1342	729
648	1343	726
649	1345	724
650	1346	722
651	1348	719
652	1349	717
653	1351	715
654	1353	713
655	1355	711
656	1357	708
657	1359	706
658	1360	704
659	1362	701
660	1363	699
661	1364	696
662	1367	694
663	1369	692
664	1371	690
665	1372	688
666	1374	686
667	1376	683
668	1377	681
669	1379	679
670	1380	676
671	1382	674
672	1385	672
673	1386	670
674	1388	668
675	1389	666
676	1391	663
677	1392	661
678	1394	659
679	1395	656
680	1397	654
681	1400	652
682	1402	650
683	1403	648
684	1405	646
685	1406	643
686	1408	641
687	1409	639
688	1411	637
689	1413	635
690	1415	633
691	1417	630
692	1419	628
693	1420	626
694	1422	624
695	1424	622
696	1425	619
697	1427	617
698	1429	615
699	1431	613
700	1432	611
701	1434	608
702	1436	606
703	1437	604
704	1439	602
705	1440	599
706	1442	597
707	1444	595
708	1445	593
709	1447	591
710	1449	589
711	1451	587
712	1453	584
713	1455	582
714	1458	581
715	1460	579
716	1462	577
717	1464	575
718	1466	573
719	1468	571
720	1470	569
721	1472	567
722	1475	565
723	1476	563
724	1478	560
725	1480	558
726	1481	556
727	1483	554
728	1485	552
729	1486	549
730	1488	547
731	1490	545
732	1493	543
733	1495	541
734	1496	539
735	1498	537
736	1500	535
737	1502	533
738	1504	531
739	1505	529
740	1507	526
741	1509	524
742	1510	522
743	1512	520
744	1513	518
745	1515	515
746	1518	514
747	1520	512
748	1522	510
749	1524	508
750	1526	505
751	1527	503
752	1529	501
753	1531	499
754	1534	497
755	1536	495
756	1537	493
757	1539	491
758	1540	489
759	1542	487
760	1543	484
761	1545	482
762	1547	480
763	1550	478
764	1552	476
765	1553	474
766	1556	472
767	1557	470
768	1560	468
769	1562	466
770	1565	464
771	1567	462
772	1569	461
773	1571	458
774	1573	456
775	1575	454
776	1577	452
777	1580	450
778	1581	448
779	1583	446
780	1585	444
781	1586	442
782	1588	440
783	1590	438
784	1593	436
785	1595	434
786	1597	432
787	1599	430
788	1601	428
789	1603	426
790	1607	424
791	1610	422
792	1612	420
793	1613	418
794	1615	416
795	1617	414
796	1619	412
797	1621	410
798	1624	408
799	1626	406
800	1628	404
801	1629	402
802	1631	400
803	1633	398
804	1636	396
805	1639	394
806	1641	392
807	1642	390
808	1644	388
809	1646	386
810	1648	384
811	1651	382
812	1653	380
813	1655	378
814	1657	376
815	1658	374
816	1660	371
817	1662	369
818	1663	367
819	1665	365
820	1668	363
821	1669	361
822	1671	359
823	1673	357
824	1675	355
825	1677	353
826	1681	351
827	1684	349
828	1686	347
829	1687	345
830	1690	343
831	1691	341
832	1693	339
833	1695	337
834	1697	335
835	1699	333
836	1700	331
837	1702	329
838	1703	326
839	1705	324
840	1706	322
841	1708	320
842	1709	318
843	1711	316
844	1713	314
845	1715	312
846	1717	310
847	1718	308
848	1720	305
849	1721	303
850	1723	301
851	1725	299
852	1727	297
853	1729	295
854	1731	293
855	1732	291
856	1734	289
857	1735	287
858	1737	285
859	1738	283
860	1740	280
861	1742	278
862	1744	276
863	1746	274
864	1747	272
865	1749	270
866	1750	268
867	1752	266
868	1753	264
869	1755	262
870	1757	260
871	1759	258
872	1760	256
873	1762	254
874	1763	251
875	1765	249
876	1766	247
877	1767	245
878	1769	243
879	1771	241
880	1773	239
881	1774	237
882	1776	235
883	1778	233
884	1779	231
885	1780	229
886	1782	227
887	1783	225
888	1785	222
889	1787	220
890	1789	218
891	1791	216
892	1792	214
893	1793	212
894	1795	210
895	1796	208
896	1798	206
897	1800	204
898	1802	202
899	1804	200
900	1805	198
901	1807	196
902	1809	194
903	1810	192
904	1812	190
905	1813	188
906	1815	186
907	1817	184
908	1818	182
909	1820	180
910	1821	177
911	1823	175
912	1824	173
913	1826	171
914	1827	169
915	1829	167
916	1831	165
917	1832	163
918	1834	161
919	1835	159
920	1837	157
921	1838	155
922	1839	153
923	1840	151
924	1842	149
925	1843	147
926	1845	145
927	1847	143
928	1848	141
929	1850	139
930	1851	137
931	1852	135
932	1854	133
933	1855	131
934	1856	129
935	1858	127
936	1859	125
937	1862	123
938	1863	121
939	1865	119
940	1866	117
941	1868	115
942	1869	113
943	1871	111
944	1872	108
945	1874	106
946	1875	104
947	1878	103
948	1879	101
949	1880	98
950	1882	96
951	1883	94
952	1885	92
953	1887	90
954	1888	88
955	1890	86
956	1892	85
957	1894	83
958	1895	81
959	1897	79
960	1899	77
961	1901	75
962	1902	73
963	1904	71
964	1906	69
965	1908	67
966	1910	65
967	1912	63
968	1914	61
969	1915	59
970	1917	57
971	1919	55
972	1921	53
973	1923	51
974	1925	49
975	1926	47
976	1928	45
977	1930	43
978	1932	41
979	1935	39
980	1938	37
981	1939	35
982	1941	33
983	1943	31
984	1945	29
985	1946	27
986	1948	25
987	1950	23
988	1952	21
989	1954	19
990	1955	17
991	1957	15
992	1959	13
993	1961	11
994	1962	9
995	1964	7
996	1966	5
997	1969	3
998	1971	1
999	1973	0
